source,make,model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
kijijiauto,Nissan,GT,2017,145985,16226,"Pickering, ON",2024-03-11,https://www.kijijiautos.ca/vip/29646720,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,Mustang,2022,59995,10883,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/29827676,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,RAM,,2017,59979,167622,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/28363479,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,Accord,,3000,238195,"-, ON",2024-03-11,https://www.kijijiautos.ca/vip/28893069,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Chrysler,Pacifica,2017,34495,120000,"Kitchener, ON",2024-03-11,https://www.kijijiautos.ca/vip/26241546,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,BMW,X6,2019,52995,40532,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/25983788,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Volkswagen,GTI,2019,29489,62264,"Hamilton, ON",2024-03-11,https://www.kijijiautos.ca/vip/31425791,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Hyundai,Santa Fe,2018,21995,129000,"Ramara, ON",2024-03-11,https://www.kijijiautos.ca/vip/30773927,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,BMW,X5,2018,42995,44182,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/25521739,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Toyota,Corolla,2021,24395,96382,"St. Catharines, ON",2024-03-11,https://www.kijijiautos.ca/vip/30008840,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,BMW,4 Series,2018,35900,102980,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/25529233,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Dodge,Challenger,2016,21777,180000,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/30101099,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Toyota,Camry,2017,21000,181947,"Waterloo, ON",2024-03-11,https://www.kijijiautos.ca/vip/30312585,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,BMW,3 Series,2018,43900,48165,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/25161644,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Mercedes-Benz,S-Class,2019,169910,49000,"Vaughan, ON",2024-03-11,https://www.kijijiautos.ca/vip/23628743,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Toyota,Camry,2014,12750,166000,"-, ON",2024-03-11,https://www.kijijiautos.ca/vip/28901707,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Mercedes-Benz,GLA,2020,32597,73161,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/31407881,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,,2016,59000,92141,"Mississauga, ON",2024-03-11,https://www.kijijiautos.ca/vip/31190317,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,RAM,,2022,63630,17502,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/24102426,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,Civic,2018,18500,138720,"Scarborough, ON",2024-03-11,https://www.kijijiautos.ca/vip/30294308,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Mercedes-Benz,S-Class,2021,127833,35000,"Concord, ON",2024-03-11,https://www.kijijiautos.ca/vip/29882679,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Toyota,Camry,2014,12750,166000,"-, ON",2024-03-11,https://www.kijijiautos.ca/vip/28901755,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Mercedes-Benz,SL,2018,58888,55200,"Halton, ON",2024-03-11,https://www.kijijiautos.ca/vip/26567487,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Porsche,911,2018,218800,17436,"Oakville, ON",2024-03-11,https://www.kijijiautos.ca/vip/26352763,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,RAM,,2018,34995,48000,"Kitchener, ON",2024-03-11,https://www.kijijiautos.ca/vip/25996086,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Chevrolet,,2021,50995,30400,"Oakville, ON",2024-03-11,https://www.kijijiautos.ca/vip/25045135,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,BMW,M,,39910,124938,"Vaughan, ON",2024-03-11,https://www.kijijiautos.ca/vip/31092484,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,RAM,,2019,31495,70828,"Mississauga, ON",2024-03-11,https://www.kijijiautos.ca/vip/30890786,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Hyundai,Santa Fe,2017,18995,91705,"Scarborough, ON",2024-03-11,https://www.kijijiautos.ca/vip/25380984,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,GMC,Terrain,2018,29495,88000,"Kitchener, ON",2024-03-11,https://www.kijijiautos.ca/vip/26142346,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
